Player,Rk,Tm,VORPFit,Lwr,Upr,Notes
Stephen Curry,105,GSW,8.59,5.6,11.58,
Russell Westbrook,452,OKC,7.4,4.38,10.42,
LeBron James,221,CLE,6.84,3.71,8.47,
James Harden,177,HOU,6.42,3.63,9.2,
Kevin Durant,126,GSW,5.7,2.22,9.18,
Draymond Green,166,GSW,5.67,3.35,8,
Kawhi Leonard,263,SAS,5.46,2.47,8.46,
Kyle Lowry,273,TOR,5.36,3.23,7.48,
Chris Paul,348,LAC,5.34,3.49,7.19,
Damian Lillard,266,POR,5,2.63,7.37,
Karl-Anthony Towns,430,MIN,4.79,2.36,7.22,
Paul Millsap,306,ATL,4.43,2.31,6.56,
John Wall,446,WAS,4.25,1.8,6.7,
Kemba Walker,445,CHO,4.1,0.99,7.21,
Anthony Davis,107,NOP,4.1,1.54,6.65,
Jimmy Butler,72,CHI,4.07,1.02,7.12,
Gordon Hayward,189,UTA,3.95,1.48,6.42,
Al Horford,207,BOS,3.89,0.18,7.6,
Paul George,153,IND,3.84,1.23,6.45,
Kyrie Irving,218,CLE,3.57,0.24,6.89,
Giannis Antetokounmpo,19,MIL,3.56,1.11,6.01,
DeAndre Jordan,241,LAC,3.55,0.51,6.6,
DeMarcus Cousins,97,SAC,3.51,1,6.01,
Jae Crowder,101,BOS,3.43,1.03,5.84,
Derrick Favors,138,UTA,3.15,0.62,5.67,
Nikola Jokic,236,DEN,3.13,0.67,5.6,
Rudy Gobert,156,UTA,2.99,1.3,4.69,
Blake Griffin,171,LAC,2.98,0.4,5.57,
Hassan Whiteside,453,MIA,2.93,0.48,5.37,
LaMarcus Aldridge,7,SAS,2.65,0.4,4.91,
Nicolas Batum,38,CHO,2.59,-0.55,5.73,
Kevin Love,272,CLE,2.58,-0.52,5.68,
Reggie Jackson,220,DET,2.57,-0.59,5.73,
Isaiah Thomas,421,BOS,2.55,-0.75,5.84,
Danny Green,165,SAS,2.22,0.62,3.81,
Gorgui Dieng,117,MIN,2.2,0.52,3.88,
Klay Thompson,425,GSW,2.16,-1.02,5.34,
Carmelo Anthony,21,NYK,2.16,0.82,3.5,
Marc Gasol,149,MEM,2.13,0.55,3.7,
Greg Monroe,309,MIL,2.05,0.33,3.77,
Mason Plumlee,356,POR,2.01,0.33,3.69,
Victor Oladipo,338,OKC,2,0.33,3.68,
Chandler Parsons,345,MEM,1.97,0.08,3.86,
Steven Adams,3,OKC,1.9,0.22,3.58,
Mike Conley,93,MEM,1.89,0.25,3.53,
Joakim Noah,328,NYK,1.85,0.19,3.52,
Ed Davis,108,POR,1.85,0.13,3.57,
George Hill,196,UTA,1.85,0.3,3.41,
Nerlens Noel,329,PHI,1.82,0.15,3.48,
Eric Bledsoe,52,PHO,1.8,0.08,3.52,
Wesley Matthews,282,DAL,1.73,0.14,3.32,
Kentavious Caldwell-Pope,76,DET,1.73,0.05,3.41,
Otto Porter,358,WAS,1.68,0,3.36,
Ricky Rubio,382,MIN,1.66,-1.65,4.98,
Aaron Gordon,159,ORL,1.66,0,3.33,
Kristaps Porzingis,360,NYK,1.65,0.31,3,
Nikola Vucevic,441,ORL,1.63,-0.26,3.52,
DeMar DeRozan,115,TOR,1.61,0.02,3.21,
Patrick Patterson,347,TOR,1.61,-0.12,3.33,
Marcus Smart,399,BOS,1.6,-0.07,3.26,
Brook Lopez,270,BRK,1.6,0.04,3.17,
Trevor Ariza,24,HOU,1.6,0.47,2.73,
Jared Sullinger,415,BOS,1.59,-0.15,3.33,
Pau Gasol,150,SAS,1.59,0.21,2.97,
Nikola Mirotic,307,CHI,1.57,-0.09,3.23,
Andrew Bogut,54,DAL,1.56,0.22,2.91,
Justise Winslow,464,MIA,1.56,0.22,2.91,
Patrick Beverley,46,HOU,1.55,-0.19,3.3,
Rodney Hood,206,UTA,1.55,-0.11,3.21,
Andre Drummond,121,DET,1.54,-0.2,3.29,
P.J. Tucker,431,PHO,1.51,-0.39,3.4,
Robin Lopez,271,CHI,1.48,-0.08,3.05,
Marcin Gortat,161,WAS,1.47,-0.17,3.11,
Danilo Gallinari,146,DEN,1.39,-0.2,2.98,
Amir Johnson,228,BOS,1.37,0.03,2.71,
Serge Ibaka,213,ORL,1.36,-0.23,2.95,
Kelly Olynyk,339,BOS,1.35,-0.32,3.03,
Marcus Morris,313,DET,1.35,-0.54,3.23,
David West,451,GSW,1.34,0.07,2.61,
Jrue Holiday,201,NOP,1.31,-0.28,2.9,
Evan Fournier,141,ORL,1.31,-0.44,3.05,
Tristan Thompson,426,CLE,1.3,-0.59,3.19,
Luol Deng,114,LAL,1.29,0.16,2.42,
Cody Zeller,475,CHO,1.28,-0.39,2.96,
Willie Cauley-Stein,83,SAC,1.28,-0.06,2.63,
Kenneth Faried,136,DEN,1.27,-0.62,3.16,
Marvin Williams,462,CHO,1.23,-0.13,2.58,
Gary Harris,182,DEN,1.22,-0.44,2.88,
Goran Dragic,120,MIA,1.2,-0.36,2.76,
C.J. McCollum,287,POR,1.2,-0.48,2.87,
Patrick Mills,304,SAS,1.2,-0.39,2.8,
Jonas Valanciunas,435,TOR,1.2,-0.54,2.95,
Harrison Barnes,34,DAL,1.15,-0.59,2.9,
Andre Roberson,373,OKC,1.15,-0.52,2.83,
Rudy Gay,151,SAC,1.14,-0.31,2.6,
Kyle Anderson,17,SAS,1.14,-0.52,2.8,
J.R. Smith,402,CLE,1.13,0.01,2.26,
John Henson,191,MIL,1.13,-0.61,2.87,
Jeff Teague,417,IND,1.1,-0.49,2.69,
Tyreke Evans,134,NOP,1.09,-0.51,2.68,
Brandon Knight,251,PHO,1.08,-0.81,2.97,
D'Angelo Russell,385,LAL,1.07,-0.28,2.42,
Dwyane Wade,443,CHI,1.06,-0.2,2.32,
Thaddeus Young,474,IND,1.06,-0.58,2.71,
Cole Aldrich,6,MIN,1.06,-0.66,2.78,
Kyle Korver,252,ATL,1.05,-0.22,2.32,
Al-Farouq Aminu,11,POR,1.04,-0.68,2.76,
Trevor Booker,57,BRK,1.02,-0.7,2.73,
Andre Iguodala,214,GSW,1.02,-0.1,2.15,
Jared Dudley,122,PHO,1.02,-0.62,2.66,
Dirk Nowitzki,332,DAL,1,-1.2,3.21,
Elfrid Payton,351,ORL,1,-0.66,2.66,
DeMarre Carroll,79,TOR,0.99,-0.6,2.59,
Bradley Beal,42,WAS,0.99,-0.75,2.74,
Taj Gibson,154,CHI,0.97,-0.62,2.56,
Clint Capela,78,HOU,0.96,-0.71,2.62,
Robert Covington,98,PHI,0.96,-0.72,2.63,
Tobias Harris,184,DET,0.94,-0.95,2.84,
Maurice Harkless,178,POR,0.94,-0.81,2.68,
Terrence Ross,380,TOR,0.94,-0.8,2.68,
Josh Richardson,371,MIA,0.93,-0.41,2.28,
Darren Collison,91,SAC,0.93,-0.66,2.52,
Rajon Rondo,378,CHI,0.91,-0.55,2.38,
Langston Galloway,147,NOP,0.9,-0.75,2.56,
Will Barton,36,DEN,0.89,-0.85,2.63,
Kent Bazemore,41,ATL,0.87,-0.87,2.61,
Mario Chalmers,84,FA,0.86,-0.69,2.42,
Matt Barnes,35,SAC,0.85,-0.41,2.11,
Manu Ginobili,155,SAS,0.84,-0.25,1.94,
Monta Ellis,130,IND,0.83,-0.5,2.16,
Tiago Splitter,408,ATL,0.82,-0.9,2.54,
Chinanu Onuaku,NA,HOU,0.8,-0.1,3.79,
J.J. Redick,369,LAC,0.8,-0.66,2.26,
Jordan Clarkson,89,LAL,0.8,-0.86,2.46,
Bismack Biyombo,47,ORL,0.79,-1.1,2.69,
Cory Joseph,242,TOR,0.79,-1.1,2.68,
Boris Diaw,116,UTA,0.79,-0.46,2.05,
Frank Kaminsky,244,CHO,0.78,-0.56,2.12,
Ian Mahinmi,276,WAS,0.78,-0.78,2.33,
Michael Carter-Williams,81,CHI,0.77,-0.9,2.45,
Deron Williams,458,DAL,0.75,-0.58,2.07,
Allen Crabbe,99,POR,0.75,-0.92,2.43,
Zaza Pachulia,341,GSW,0.74,-0.53,2.02,
Dwight Howard,208,ATL,0.73,-0.4,1.86,
Iman Shumpert,394,CLE,0.73,-1.16,2.62,
Solomon Hill,198,NOP,0.73,-0.95,2.41,
Joe Ingles,216,UTA,0.73,-0.93,2.39,
Rondae Hollis-Jefferson,204,BRK,0.72,-0.62,2.06,
Courtney Lee,260,NYK,0.71,-0.84,2.26,
Thabo Sefolosha,391,ATL,0.7,-0.76,2.15,
Avery Bradley,59,BOS,0.7,-1.02,2.42,
Tony Allen,10,MEM,0.7,-0.43,1.82,
Kyle O'Quinn,336,NYK,0.69,-1.05,2.43,
James Johnson,230,MIA,0.68,-0.91,2.27,
Nemanja Bjelica,48,MIN,0.63,-0.72,1.97,
Jeremy Lamb,254,CHO,0.62,-1.12,2.36,
Jeremy Lin,267,BRK,0.61,-1.11,2.32,
Lou Williams,461,LAL,0.6,-0.73,1.92,
Jerami Grant,163,PHI,0.6,-1.06,2.26,
Stanley Johnson,233,DET,0.59,-0.75,1.93,
Tyler Johnson,234,MIA,0.59,-1.07,2.25,
David Lee,261,SAS,0.59,-0.73,1.92,
Ersan Ilyasova,215,OKC,0.58,-0.98,2.14,
Jusuf Nurkic,333,DEN,0.57,-1.09,2.23,
Eric Gordon,160,HOU,0.57,-0.98,2.13,
Dragan Bender,NA,PHO,0.56,-0.94,2.06,
Jeff Withey,465,UTA,0.56,-1.12,2.23,
Josh McRoberts,296,MIA,0.54,-1.12,2.2,
Omri Casspi,82,SAC,0.54,-1.05,2.13,
Larry Nance Jr.,322,LAL,0.53,-0.81,1.87,
Markieff Morris,314,WAS,0.53,-1.36,2.42,
Dwight Powell,361,DAL,0.52,-1.14,2.18,
Lavoy Allen,9,IND,0.52,-1.36,2.41,
Wesley Johnson,235,LAC,0.52,-1.19,2.24,
Devin Harris,181,DAL,0.51,-0.61,1.63,
Boban Marjanovic,278,DET,0.51,-0.83,1.86,
Michael Kidd-Gilchrist,249,CHO,0.5,-1.24,2.25,
T.J. McConnell,288,PHI,0.5,-0.84,1.85,
Meyers Leonard,264,POR,0.49,-1.26,2.23,
Norman Powell,362,TOR,0.49,-0.85,1.83,
Quincy Acy,1,DAL,0.48,-1.26,2.22,
Myles Turner,433,IND,0.47,-0.87,1.81,
Terrence Jones,239,NOP,0.47,-1.28,2.22,
Mike Muscala,321,ATL,0.46,-1.22,2.13,
Channing Frye,145,CLE,0.46,-0.99,1.92,
Denzel Valentine,NA,CHI,0.45,-0.78,3.65,
Andrew Wiggins,455,MIN,0.45,-1.21,2.11,
Brandon Jennings,226,NYK,0.45,-1.14,2.04,
T.J. Warren,447,PHO,0.45,-1.21,2.11,
Garrett Temple,419,SAC,0.45,-1.27,2.17,
Spencer Hawes,187,CHO,0.44,-1.2,2.08,
James Ennis,131,MEM,0.44,-1.22,2.1,
Brandan Wright,468,MEM,0.43,-1.12,1.99,
Zach LaVine,258,MIN,0.43,-1.24,2.09,
Tony Parker,344,SAS,0.43,-0.77,1.63,
Timofey Mozgov,317,LAL,0.41,-1.31,2.12,
Mirza Teletovic,418,MIL,0.41,-1.34,2.15,
Jeff Green,170,ORL,0.41,-1.14,1.97,
Richaun Holmes,205,PHI,0.41,-0.93,1.75,
Evan Turner,432,POR,0.41,-1.31,2.13,
Roy Hibbert,193,CHO,0.4,-1.16,1.95,
Paul Pierce,354,LAC,0.4,-1.82,2.61,
Cameron Payne,350,OKC,0.4,-0.94,1.74,
Kosta Koufos,253,SAC,0.4,-1.16,1.96,
Jodie Meeks,297,ORL,0.38,-1.21,1.98,
Anthony Tolliver,428,SAC,0.38,-1.17,1.93,
Chris McCullough,289,BRK,0.37,-0.98,1.71,
Dennis Schroder,388,ATL,0.36,-1.32,2.04,
Jeremy Evans,133,FA,0.36,-1.36,2.08,
Brandon Bass,37,LAC,0.36,-0.97,1.69,
Dante Cunningham,102,NOP,0.36,-1.23,1.95,
Mario Hezonja,192,ORL,0.36,-0.98,1.7,
Lucas Nogueira,330,TOR,0.36,-1.3,2.02,
Ryan Anderson,18,HOU,0.35,-1.22,1.92,
Jose Calderon,75,LAL,0.35,-0.98,1.68,
Jabari Parker,343,MIL,0.35,-1.31,2.01,
Justin Anderson,16,DAL,0.34,-1,1.68,
Aron Baynes,40,DET,0.34,-1.4,2.08,
Darrell Arthur,25,DEN,0.33,-1.26,1.92,
Thon Maker,NA,MIL,0.33,-1.17,1.83,
Enes Kanter,245,OKC,0.33,-1.56,2.23,
Festus Ezeli,135,POR,0.33,-1.35,2,
Raul Neto,326,UTA,0.33,-1.01,1.67,
Devin Booker,56,PHO,0.32,-1.03,1.66,
Toney Douglas,119,FA,0.31,-1.28,1.9,
Brice Johnson,NA,LAC,0.31,-0.69,2.36,
Ben McLemore,294,SAC,0.31,-1.36,1.99,
Alec Burks,70,UTA,0.3,-1.59,2.19,
Trey Burke,69,WAS,0.3,-1.38,1.97,
Jonas Jerebko,227,BOS,0.29,-1.43,2.01,
Cristiano Felicio,139,CHI,0.29,-1.05,1.63,
C.J. Miles,301,IND,0.29,-1.04,1.62,
Jordan Adams,2,MEM,0.29,-1.37,1.95,
Jordan Hill,197,MIN,0.28,-1.31,1.87,
Timothe Luwawu,NA,PHI,0.28,-1.22,1.78,
Jonathon Simmons,395,SAS,0.28,-1.07,1.62,
Trey Lyles,274,UTA,0.28,-1.06,1.62,
Mike Scott,390,ATL,0.27,-1.47,2.01,
Sergey Karasev,246,FA,0.27,-1.41,1.95,
Tyson Chandler,85,PHO,0.27,-0.92,1.47,
Chris Johnson,229,FA,0.27,-1.45,1.99,
Mike Dunleavy Jr,125,CLE,0.26,-0.82,1.34,
James Michael McAdoo,285,GSW,0.26,-1.4,1.92,
Troy Daniels,106,MEM,0.26,-1.42,1.93,
James Young,471,BOS,0.25,-1.41,1.91,
Reggie Bullock,68,DET,0.25,-1.43,1.92,
Josh Smith,404,FA,0.25,-0.88,1.37,
Al Jefferson,222,IND,0.25,-0.87,1.37,
Jordan Hamilton,174,FA,0.23,-1.66,2.11,
Nene Hilario,195,HOU,0.23,-0.85,1.3,
Alonzo Gee,152,FA,0.23,-1.36,1.82,
Kyle Singler,397,OKC,0.23,-1.51,1.97,
Jakob Poeltl,NA,TOR,0.23,-1.37,3.93,
Jarnell Stokes,412,DEN,0.22,-1.44,1.89,
Kevon Looney,269,GSW,0.22,-1.12,1.56,
Cliff Alexander,8,FA,0.22,-1.12,1.56,
Ty Lawson,259,SAC,0.22,-1.38,1.82,
Seth Curry,104,DAL,0.21,-1.46,1.89,
Jon Leuer,265,DET,0.21,-1.67,2.1,
Matthew Dellavedova,113,MIL,0.21,-1.46,1.89,
