,Player,Rk,Tm,Fit,Lwr,Upr,Notes
1,Paul Millsap,306,ATL,4.43,2.31,6.56,
2,Kyle Korver,252,ATL,1.05,-0.22,2.32,
3,Kent Bazemore,41,ATL,0.87,-0.87,2.61,
4,Tiago Splitter,408,ATL,0.82,-0.9,2.54,
5,Dwight Howard,208,ATL,0.73,-0.4,1.86,
6,Thabo Sefolosha,391,ATL,0.7,-0.76,2.15,
7,Mike Muscala,321,ATL,0.46,-1.22,2.13,
8,Dennis Schroder,388,ATL,0.36,-1.32,2.04,
9,Mike Scott,390,ATL,0.27,-1.47,2.01,
10,DeAndre Bembry,NA,ATL,0.19,-1.16,3.84,
11,Tim Hardaway Jr,176,ATL,0.04,-1.64,1.71,
12,Walter Tavares,416,ATL,0.03,-1.31,1.37,
13,Kris Humphries,211,ATL,0.01,-1.1,1.13,
14,Ryan Kelly,248,FA,-0.05,-1.73,1.63,Stash
15,Jarrett Jack,219,FA,-0.06,-1.38,1.27,
16,Taurean Prince,NA,ATL,-0.27,-1.41,0.61,
17,Al Horford,207,BOS,3.89,0.18,7.6,
18,Jae Crowder,101,BOS,3.43,1.03,5.84,
19,Isaiah Thomas,421,BOS,2.55,-0.75,5.84,
20,Marcus Smart,399,BOS,1.6,-0.07,3.26,
21,Jared Sullinger,415,BOS,1.59,-0.15,3.33,
22,Amir Johnson,228,BOS,1.37,0.03,2.71,
23,Kelly Olynyk,339,BOS,1.35,-0.32,3.03,
24,Avery Bradley,59,BOS,0.7,-1.02,2.42,
25,Jonas Jerebko,227,BOS,0.29,-1.43,2.01,
26,James Young,471,BOS,0.25,-1.41,1.91,
27,Jordan Mickey,299,BOS,0.13,-1.21,1.48,
28,R.J. Hunter,212,BOS,0.08,-1.26,1.42,
29,Tyler Zeller,476,BOS,0.07,-1.67,1.81,
30,Demetrius Jackson,NA,BOS,-0.03,-0.98,0.89,
31,Gerald Green,168,BOS,-0.09,-1.74,1.55,
32,Terry Rozier,381,BOS,-0.1,-1.44,1.24,
33,Ben Bentil,NA,FA,-0.11,-0.87,0.49,
34,Jaylen Brown,NA,BOS,-0.13,-2.24,2.76,
35,Brook Lopez,270,BRK,1.6,0.04,3.17,
36,Trevor Booker,57,BRK,1.02,-0.7,2.73,
37,Rondae Hollis-Jefferson,204,BRK,0.72,-0.62,2.06,
38,Jeremy Lin,267,BRK,0.61,-1.11,2.32,
39,Chris McCullough,289,BRK,0.37,-0.98,1.71,
40,Joe Harris,183,BRK,0.05,-1.61,1.71,
41,Chase Budinger,67,FA,0.03,-1.56,1.62,
42,Jorge Gutierrez,172,FA,0.01,-1.67,1.68,
43,Anthony Bennett,45,BRK,-0.01,-1.69,1.67,
44,Randy Foye,142,BRK,-0.06,-1.52,1.41,
45,Isaiah Whitehead,NA,BRK,-0.07,-1.01,1.16,
46,Greivis Vasquez,437,BRK,-0.08,-1.8,1.64,
47,Sean Kilpatrick,250,BRK,-0.1,-1.76,1.56,
48,Caris LeVert,NA,BRK,-0.15,-1.81,1.79,
49,Bojan Bogdanovic,53,BRK,-0.29,-1.96,1.37,
50,Luis Scola,389,BRK,-0.31,-1.97,1.35,
51,Jimmy Butler,72,CHI,4.07,1.02,7.12,
52,Nikola Mirotic,307,CHI,1.57,-0.09,3.23,
53,Robin Lopez,271,CHI,1.48,-0.08,3.05,
54,Dwyane Wade,443,CHI,1.06,-0.2,2.32,
55,Taj Gibson,154,CHI,0.97,-0.62,2.56,
56,Rajon Rondo,378,CHI,0.91,-0.55,2.38,
57,Denzel Valentine,NA,CHI,0.45,-0.78,3.65,
58,Cristiano Felicio,139,CHI,0.29,-1.05,1.63,
59,Bobby Portis,359,CHI,0.13,-1.22,1.47,
60,Spencer Dinwiddie,118,FA,0.11,-1.55,1.77,
61,Isaiah Canaan,77,CHI,0,-1.67,1.68,
62,Jerian Grant,164,CHI,-0.02,-1.36,1.32,
63,Paul Zipser,NA,CHI,-0.09,-1.59,1.41,
64,Tony Snell,406,MIL,-0.12,-1.8,1.55,
65,Doug McDermott,291,CHI,-0.22,-1.88,1.43,
66,Kemba Walker,445,CHO,4.1,0.99,7.21,
67,Nicolas Batum,38,CHO,2.59,-0.55,5.73,
68,Cody Zeller,475,CHO,1.28,-0.39,2.96,
69,Marvin Williams,462,CHO,1.23,-0.13,2.58,
70,Frank Kaminsky,244,CHO,0.78,-0.56,2.12,
71,Jeremy Lamb,254,CHO,0.62,-1.12,2.36,
72,Michael Kidd-Gilchrist,249,CHO,0.5,-1.24,2.25,
73,Spencer Hawes,187,CHO,0.44,-1.2,2.08,
74,Roy Hibbert,193,CHO,0.4,-1.16,1.95,
75,Christian Wood,466,CHO,0.15,-1.19,1.5,
76,Aaron Harrison,185,CHO,0.1,-1.24,1.44,
77,Ramon Sessions,393,CHO,-0.19,-1.83,1.45,
78,Marco Belinelli,44,CHO,-0.25,-1.9,1.39,
79,Brian Roberts,374,CHO,-0.31,-2.05,1.44,
80,LeBron James,221,CLE,6.84,3.71,8.47,
81,Kyrie Irving,218,CLE,3.57,0.24,6.89,
82,Kevin Love,272,CLE,2.58,-0.52,5.68,
83,Tristan Thompson,426,CLE,1.3,-0.59,3.19,
84,J.R. Smith,402,CLE,1.13,0.01,2.26,
85,Iman Shumpert,394,CLE,0.73,-1.16,2.62,
86,Channing Frye,145,CLE,0.46,-0.99,1.92,
87,Mike Dunleavy Jr,125,CLE,0.26,-0.82,1.34,
88,Chris Andersen,13,CLE,0.18,-0.9,1.26,
89,Richard Jefferson,224,CLE,0.12,-1.07,1.31,
90,Markel Brown,65,FA,0.08,-1.58,1.74,
91,Dahntay Jones,237,CLE,-0.03,-1.15,1.09,
92,Jordan McRae,295,CLE,-0.03,-1.38,1.31,
93,Cory Jefferson,223,FA,-0.04,-1.7,1.62,
94,James Jones,238,CLE,-0.09,-1.35,1.16,
95,Kay Felder,NA,CLE,-0.4,-1.9,1.41,
96,Wesley Matthews,282,DAL,1.73,0.14,3.32,
97,Andrew Bogut,54,DAL,1.56,0.22,2.91,
98,Harrison Barnes,34,DAL,1.15,-0.59,2.9,
99,Dirk Nowitzki,332,DAL,1,-1.2,3.21,
100,Deron Williams,458,DAL,0.75,-0.58,2.07,
101,Dwight Powell,361,DAL,0.52,-1.14,2.18,
102,Devin Harris,181,DAL,0.51,-0.61,1.63,
103,Quincy Acy,1,DAL,0.48,-1.26,2.22,
104,Justin Anderson,16,DAL,0.34,-1,1.68,
105,Seth Curry,104,DAL,0.21,-1.46,1.89,
106,A.J. Hammons,NA,DAL,0.18,-0.65,2.15,
107,Salah Mejri,298,DAL,0.11,-1.23,1.46,
108,J.J. Barea,32,DAL,-0.15,-1.61,1.3,
109,Nikola Jokic,236,DEN,3.13,0.67,5.6,
110,Danilo Gallinari,146,DEN,1.39,-0.2,2.98,
111,Kenneth Faried,136,DEN,1.27,-0.62,3.16,
112,Gary Harris,182,DEN,1.22,-0.44,2.88,
113,Will Barton,36,DEN,0.89,-0.85,2.63,
114,Jusuf Nurkic,333,DEN,0.57,-1.09,2.23,
115,Darrell Arthur,25,DEN,0.33,-1.26,1.92,
116,Jarnell Stokes,412,DEN,0.22,-1.44,1.89,
117,Axel Toupane,429,FA,0.06,-1.28,1.4,
118,Emmanuel Mudiay,318,DEN,-0.05,-1.4,1.3,
119,Juan Hernangomez,NA,DEN,-0.12,-1.62,1.38,
120,Jameer Nelson,325,DEN,-0.13,-1.25,0.99,
121,Jamal Murray,NA,DEN,-0.15,-1.37,2.32,
122,Mike Miller,303,DEN,-0.2,-1.69,1.29,
123,Malik Beasley,NA,DEN,-0.26,-1.42,0.2,
124,JaKarr Sampson,387,FA,-0.45,-2.11,1.21,
125,Reggie Jackson,220,DET,2.57,-0.59,5.73,
126,Kentavious Caldwell-Pope,76,DET,1.73,0.05,3.41,
127,Andre Drummond,121,DET,1.54,-0.2,3.29,
128,Marcus Morris,313,DET,1.35,-0.54,3.23,
129,Tobias Harris,184,DET,0.94,-0.95,2.84,
130,Stanley Johnson,233,DET,0.59,-0.75,1.93,
131,Boban Marjanovic,278,DET,0.51,-0.83,1.86,
132,Aron Baynes,40,DET,0.34,-1.4,2.08,
133,Reggie Bullock,68,DET,0.25,-1.43,1.92,
134,Jon Leuer,265,DET,0.21,-1.67,2.1,
135,Ray McCallum,286,DET,0.09,-1.58,1.77,
136,Lorenzo Brown,64,FA,0.04,-1.63,1.72,
137,Ish Smith,401,DET,0,-1.72,1.72,
138,Darrun Hilliard,199,DET,-0.01,-1.35,1.33,
139,Michael Gbinije,NA,DET,-0.13,-1.13,0.6,
140,Henry Ellenson,NA,DET,-0.26,-2,0.71,
141,Mario Chalmers,84,FA,0.86,-0.69,2.42,
142,Toney Douglas,119,FA,0.31,-1.28,1.9,
143,Sergey Karasev,246,FA,0.27,-1.41,1.95,
144,Josh Smith,404,FA,0.25,-0.88,1.37,
145,Jordan Hamilton,174,FA,0.23,-1.66,2.11,
146,Shane Larkin,256,FA,0.16,-1.52,1.83,
147,Jeff Ayres,28,FA,0.15,-1.57,1.87,
148,O.J. Mayo,283,FA,0.15,-1.41,1.71,
149,Greg Smith,400,FA,0.14,-1.75,2.02,
150,J.J. Hickson,194,FA,0.13,-1.43,1.69,
151,Matt Bonner,55,FA,0.12,-1,1.24,
152,DeJuan Blair,50,FA,0.11,-1.48,1.71,
153,Shayne Whittington,454,FA,0.11,-1.55,1.77,
154,Tyrone Wallace,NA,FA,0.06,-1.12,1.83,
155,Eric Moreland,312,FA,0.05,-1.61,1.71,
156,Russ Smith,405,FA,0.05,-1.61,1.72,
157,Xavier Munford,320,FA,0.05,-1.29,1.39,
158,Erick Green,167,FA,0.04,-1.62,1.7,
159,Bryce Cotton,96,FA,0.03,-1.64,1.69,
160,Chuck Hayes,188,FA,0.03,-1.29,1.36,
161,Gary Neal,324,FA,0.03,-1.69,1.75,
162,Duje Dukan,123,FA,0.02,-1.32,1.36,
163,Jimmer Fredette,144,FA,0.02,-1.87,1.91,
164,Devyn Marble,277,FA,0.01,-1.65,1.67,
165,Jason Thompson,424,FA,0.01,-1.54,1.57,
166,Thanasis Antetokounmpo,20,FA,0.01,-1.34,1.35,
167,Jared Cunningham,103,FA,0,-1.74,1.74,
168,Amar'e Stoudemire,413,FA,-0.01,-1.08,1.07,
169,Keith Appling,23,FA,-0.01,-1.35,1.33,
170,Elijah Millsap,305,FA,-0.04,-1.7,1.62,
171,Andrew Goudelock,162,FA,-0.05,-1.73,1.62,
172,Cameron Bairstow,30,FA,-0.05,-1.71,1.61,
173,Kostas Papanikolaou,342,FA,-0.06,-1.72,1.6,
174,Nate Robinson,376,FA,-0.06,-1.39,1.27,
175,Tony Wroten,470,FA,-0.06,-1.81,1.69,
176,Donald Sloan,398,FA,-0.07,-1.95,1.82,
177,Kirk Hinrich,200,FA,-0.08,-1.34,1.18,
178,Tyler Hansbrough,175,FA,-0.08,-1.67,1.51,
179,Caron Butler,71,FA,-0.09,-1.16,0.99,
180,James Anderson,15,FA,-0.1,-1.99,1.79,
181,Justin Harper,179,FA,-0.1,-1.76,1.56,
182,Marcus Paige,NA,FA,-0.13,-1.18,0.92,
183,Andre Miller,302,FA,-0.14,-1.76,1.49,
184,Carl Landry,255,FA,-0.14,-1.78,1.5,
185,Cleanthony Early,127,FA,-0.14,-1.8,1.52,
186,Alex Stepheson,411,FA,-0.16,-1.5,1.19,
187,Tibor Pleiss,355,FA,-0.17,-1.52,1.17,
188,Drew Gooden,157,FA,-0.18,-1.26,0.9,
189,Ryan Hollins,203,FA,-0.21,-1.67,1.24,
190,Chris Kaman,243,FA,-0.23,-1.48,1.03,
191,Nazr Mohammed,308,FA,-0.23,-2.53,2.07,
192,Mo Williams,463,FA,-0.24,-1.5,1.02,
193,Tayshaun Prince,366,FA,-0.24,-1.32,0.85,
194,Steve Blake,51,FA,-0.3,-1.55,0.96,
195,Chris Copeland,95,FA,-0.31,-2.05,1.44,
196,Sasha Kaun,247,FA,-0.32,-1.66,1.03,
197,Charlie Villanueva,439,FA,-0.34,-1.66,0.99,
198,Kevin Martin,281,FA,-0.34,-1.47,0.78,
199,Kendall Marshall,279,FA,-0.37,-2.11,1.38,
200,Kendrick Perkins,353,FA,-0.37,-1.63,0.89,
201,Norris Cole,90,FA,-0.37,-2.26,1.51,
202,Andrea Bargnani,33,FA,-0.57,-2.03,0.89,
203,Sonny Weems,450,FA,-0.6,-2.34,1.15,
204,Stephen Curry,105,GSW,8.59,5.6,11.58,
205,Kevin Durant,126,GSW,5.7,2.22,9.18,
206,Draymond Green,166,GSW,5.67,3.35,8,
207,Klay Thompson,425,GSW,2.16,-1.02,5.34,
208,David West,451,GSW,1.34,0.07,2.61,
209,Andre Iguodala,214,GSW,1.02,-0.1,2.15,
210,Zaza Pachulia,341,GSW,0.74,-0.53,2.02,
211,James Michael McAdoo,285,GSW,0.26,-1.4,1.92,
212,Kevon Looney,269,GSW,0.22,-1.12,1.56,
213,Shaun Livingston,268,GSW,0.19,-1.14,1.53,
214,Ian Clark,87,GSW,0.11,-1.56,1.79,
215,JaVale McGee,293,GSW,0.09,-1.46,1.65,
216,Anderson Varejao,436,GSW,0.06,-1.06,1.18,
217,Patrick McCaw,NA,GSW,0.04,-0.96,1.82,
218,Phil Pressey,363,FA,0.04,-1.63,1.72,
219,Damian Jones,NA,GSW,0.01,-0.44,0.4,
220,Elliot Williams,460,FA,-0.12,-1.86,1.62,
221,James Harden,177,HOU,6.42,3.63,9.2,
222,Trevor Ariza,24,HOU,1.6,0.47,2.73,
223,Patrick Beverley,46,HOU,1.55,-0.19,3.3,
224,Clint Capela,78,HOU,0.96,-0.71,2.62,
225,Chinanu Onuaku,NA,HOU,0.8,-0.1,3.79,
226,Eric Gordon,160,HOU,0.57,-0.98,2.13,
227,Ryan Anderson,18,HOU,0.35,-1.22,1.92,
228,Nene Hilario,195,HOU,0.23,-0.85,1.3,
229,Montrezl Harrell,180,HOU,0.16,-1.18,1.5,
230,K.J. McDaniels,290,HOU,0.14,-1.52,1.8,
231,Sam Dekker,112,HOU,0.14,-1.2,1.48,
232,Donatas Motiejunas,316,HOU,0.08,-1.66,1.82,
233,Corey Brewer,61,HOU,0.06,-1.58,1.7,
234,Pablo Prigioni,365,HOU,-0.05,-1.83,1.73,
235,Tyler Ennis,132,HOU,-0.06,-1.72,1.6,
236,P.J. Hairston,173,FA,-0.26,-1.92,1.4,
237,Paul George,153,IND,3.84,1.23,6.45,
238,Jeff Teague,417,IND,1.1,-0.49,2.69,
239,Thaddeus Young,474,IND,1.06,-0.58,2.71,
240,Monta Ellis,130,IND,0.83,-0.5,2.16,
241,Lavoy Allen,9,IND,0.52,-1.36,2.41,
242,Myles Turner,433,IND,0.47,-0.87,1.81,
243,Jeremy Evans,133,FA,0.36,-1.36,2.08,
244,C.J. Miles,301,IND,0.29,-1.04,1.62,
245,Al Jefferson,222,IND,0.25,-0.87,1.37,
246,Aaron Brooks,62,IND,-0.02,-1.57,1.54,
247,Rakeem Christmas,86,IND,-0.03,-1.37,1.32,
248,Georges Niang,NA,IND,-0.06,-1.07,1.58,
249,Joseph Young,472,FA,-0.12,-1.46,1.22,
250,Rodney Stuckey,414,IND,-0.14,-1.78,1.5,
251,Glenn Robinson,375,IND,-0.21,-1.47,1.04,
252,Kevin Seraphin,392,IND,-0.35,-2.07,1.37,
253,Chris Paul,348,LAC,5.34,3.49,7.19,
254,DeAndre Jordan,241,LAC,3.55,0.51,6.6,
255,Blake Griffin,171,LAC,2.98,0.4,5.57,
256,J.J. Redick,369,LAC,0.8,-0.66,2.26,
257,Wesley Johnson,235,LAC,0.52,-1.19,2.24,
258,Paul Pierce,354,LAC,0.4,-1.82,2.61,
259,Brandon Bass,37,LAC,0.36,-0.97,1.69,
260,Brice Johnson,NA,LAC,0.31,-0.69,2.36,
261,Raymond Felton,140,LAC,0.18,-1.15,1.5,
